values,name,day,,
3303.381402,jacobi,422,,
3934.194997,jacobi,423,,
2793.490057,jacobi,424,,
3950.991837,jacobi,425,,
3288.701164,jacobi,426,,
3723.775845,jacobi,427,,
3116.498722,jacobi,428,,
2336.674253,jacobi,429,,
4969.270331,jacobi,430,,
3735.062678,jacobi,431,,
5019.163458,jacobi,432,,
2273.893109,jacobi,433,,
2055.091517,jacobi,434,,
4368.506402,jacobi,435,,
3698.101815,jacobi,436,,
3837.482574,jacobi,437,,
4082.967394,jacobi,438,,
2953.787932,jacobi,439,,
3819.443015,jacobi,440,,
1254.137199,jacobi,441,,
1938.933763,jacobi,442,,
3519.031862,jacobi,443,,
2832.23721,jacobi,444,,
5385.540418,jacobi,445,,
3265.200858,jacobi,446,,
3593.917978,jacobi,447,,
3088.069512,jacobi,448,,
3653.837989,jacobi,449,,
4265.771654,jacobi,450,,
2316.129967,jacobi,451,,
3546.761096,jacobi,452,,
2919.640251,jacobi,453,,
4032.92866,jacobi,454,,
3391.455026,jacobi,455,,
1908.844047,jacobi,456,,
3715.163253,jacobi,457,,
3449.346791,jacobi,458,,
2858.757671,jacobi,459,,
3903.866063,jacobi,460,,
4167.893967,jacobi,461,,
3074.231458,jacobi,462,,
3218.046092,jacobi,463,,
3409.654454,jacobi,464,,
2923.540793,jacobi,465,,
4533.062812,jacobi,466,,
4059.133073,jacobi,467,,
3781.120771,jacobi,468,,
4717.198367,jacobi,469,,
2643.973219,jacobi,470,,
3606.706759,jacobi,471,,
2665.602807,jacobi,472,,
2894.989306,jacobi,473,,
2843.287638,jacobi,474,,
3584.134807,jacobi,475,,
5259.370809,jacobi,476,,
2771.297654,jacobi,477,,
3180.166131,jacobi,478,,
2527.090335,jacobi,479,,
4769.476737,jacobi,480,,
4527.91468,jacobi,481,,
3159.898928,jacobi,482,,
4480.191599,jacobi,483,,
5651.525037,jacobi,484,,
4245.72629,jacobi,485,,
4088.996664,jacobi,486,,
5086.702099,jacobi,487,,
5956.342723,jacobi,488,,
5766.624145,jacobi,489,,
5869.359477,jacobi,490,,
4189.319142,jacobi,491,,
6100.223015,jacobi,492,,
5575.591604,jacobi,493,,
6832.045185,jacobi,494,,
6680.692025,jacobi,495,,
7227.791659,jacobi,496,,
8441.312045,jacobi,497,,
8163.609237,jacobi,498,,
7999.753294,jacobi,499,,
9705.576857,jacobi,500,,
8722.918763,jacobi,501,,
8846.164924,jacobi,502,,
10480.30679,jacobi,503,,
9409.656997,jacobi,504,,
9493.186508,jacobi,505,,
10239.54857,jacobi,506,,
