day,jacobi,time
577,6215.685476,8828
578,6308.869063,3794
579,6534.090806,2744
580,6075.299546,10325
581,6101.993602,7899
582,6255.824003,7358
583,5930.83807,6484
584,6749.836724,6152
585,6797.963828,2819
586,6645.287651,2138
587,6219.798815,7853
588,6196.805515,6564
589,5914.068631,6102
590,6381.317428,5493
591,6139.028161,5220
592,6041.576584,2418
593,6207.191538,2031
594,6006.156467,6758
595,5702.465868,5426
596,5668.990784,4875
597,5276.701285,4866
598,5193.067088,4685
599,5058.710003,1870
600,4935.320619,1406
601,4962.196191,5569
602,4504.072259,4541
603,4364.13759,4268
604,4489.797593,4120
605,4029.842212,3980
606,3203.817241,1705
607,3143.990603,1296
608,3393.98295,5252
609,2781.308075,4206
610,2954.549689,3847
611,2716.366702,3653
612,2518.158769,3485
613,2557.537487,1286
614,2526.3871,966
615,2520.098537,3467
616,2580.742054,2562
617,2496.629115,3875
618,2415.440561,3520
619,2340.267281,3231
620,2591.004715,1403
621,2459.377368,1030
622,3068.265817,4213
623,3215.738903,3579
624,3385.503451,3346
625,3337.757319,3323
626,3808.892583,3107
627,3864.3469,1223
628,4146.757129,868
629,4387.91619,1381
630,4494.337122,3938
631,4749.495638,3605
632,4981.624858,3235
633,5078.302318,2978
634,5315.400643,1294
635,5583.75089,982
636,5640.566514,4391
637,5577.642952,3526
638,5358.743095,3236
639,5439.310523,3135
640,5363.551902,2785
641,5184.798,1152
642,5033.31269,1005
643,4825.570223,3916
644,4487.56057,3190
645,4301.918037,3044
646,3838.738625,3163
647,3404.220412,2777
648,3059.630886,1061
649,2720.352647,878
650,2265.25769,3749
651,1920.679574,3255
652,1453.922759,2935
653,1146.865243,2814
654,716.4309374,2788
655,411.0939484,926
656,201.5514872,906
657,59.63503974,3322
658,0,2834
659,54.02774385,2828
660,239.1102518,2770
661,448.5611372,2542
662,740.0639538,1156
663,1227.986379,987
664,1807.890867,3820
665,2607.932992,3648
666,3476.895325,3939
667,4454.932432,4134
668,5519.636932,3317
669,6819.262658,1113
670,8238.294942,2012
671,9714.003534,8260
672,11257.99006,9830
673,12931.43666,11627
674,14733.68906,12780
675,16533.12225,11297
676,18414.87061,3741
677,20268.26149,5841
678,22180.1662,24176
679,24083.01885,32186
680,25938.00582,38802
681,27739.7205,42482
682,29499.17482,46432
683,31175.46691,22501
684,32726.82736,18911
685,34132.58754,68648
686,35420.36422,71624
687,36582.19244,75449
688,37550.25841,74566
689,38339.81543,73249
690,38904.67463,31259
691,39303.27972,23799
692,39511.62895,80734
